Column1.1,Column3
7/1/2019,102.36
7/2/2019,102.72
7/3/2019,103
7/4/2019,102.29
7/5/2019,102.63
7/8/2019,102.61
7/9/2019,102.69
7/10/2019,102.75
7/11/2019,102.92
7/12/2019,102.92
7/15/2019,102.95
7/16/2019,103.03
7/17/2019,103.05
7/18/2019,103.06
7/19/2019,103.1
7/22/2019,103.22
7/23/2019,103.61
7/24/2019,103.76
7/25/2019,104.02
7/26/2019,103.8
7/29/2019,103.82
7/30/2019,104.07
7/31/2019,104.21
8/1/2019,104.17
8/2/2019,103.23
8/5/2019,103.01
7/31/2019,104.21
8/6/2019,103.2
8/7/2019,103.27
8/8/2019,103.44
8/9/2019,103.37
8/13/2019,103.07
8/14/2019,103.25
8/15/2019,103.26
8/16/2019,103.33
8/19/2019,103.38
8/20/2019,103.29
8/21/2019,102.97
8/22/2019,102.96
8/23/2019,103.06
8/26/2019,103.18
8/27/2019,103.32
8/28/2019,103.45
8/29/2019,103.48
8/30/2019,103.55
9/2/2019,103.59
9/3/2019,103.64
9/4/2019,103.82
9/5/2019,103.82
9/6/2019,103.89
9/9/2019,103.82
9/10/2019,103.73
9/11/2019,103.66
9/12/2019,103.78
9/13/2019,103.79
9/16/2019,103.77
9/17/2019,103.79
9/18/2019,103.86
9/19/2019,103.91
9/20/2019,103.83
9/23/2019,103.83
9/24/2019,103.86
9/25/2019,103.83
9/26/2019,103.86
9/27/2019,103.82
9/30/2019,103.89
10/1/2019,103.86
10/2/2019,103.86
10/3/2019,103.86
10/4/2019,103.81
10/7/2019,103.84
10/8/2019,103.8
10/9/2019,103.78
10/11/2019,103.76
10/14/2019,103.77
10/15/2019,103.79
10/16/2019,103.7
10/17/2019,103.71
10/18/2019,103.7
10/22/2019,103.73
10/23/2019,103.58
10/24/2019,103.51
10/25/2019,103.25
10/28/2019,103.52
10/29/2019,103.56
10/30/2019,103.41
10/31/2019,103.21
11/1/2019,103.28
11/4/2019,103.27
11/5/2019,103.27
11/6/2019,103.19
11/7/2019,102.95
11/8/2019,102.81
11/11/2019,102.5
11/12/2019,102.41
11/13/2019,102.42
11/14/2019,102.1
11/15/2019,102.08
11/18/2019,101.97
11/19/2019,101.93
11/20/2019,101.8
11/21/2019,101.48
11/22/2019,101.36
11/25/2019,101.55
11/26/2019,102.02
11/27/2019,102.43
11/28/2019,102.54
11/29/2019,102.81
12/2/2019,102.6
12/3/2019,102.61
12/4/2019,102.3
12/5/2019,101.96
12/6/2019,101.75
12/9/2019,101.67
12/10/2019,101.42
12/11/2019,101.5
12/13/2019,101.67
12/16/2019,101.68
12/17/2019,101.62
12/18/2019,101.54
12/19/2019,100.9
12/20/2019,100.71
12/23/2019,100.7
12/24/2019,100.63
12/27/2019,100.77
12/30/2019,101.16
12/31/2019,101.34
1/2/2020,101.34
1/3/2020,100.96
1/6/2020,100.98
1/7/2020,101.06
1/8/2020,101.26
1/9/2020,101.47
1/10/2020,101.59
1/13/2020,101.34
1/14/2020,101.49
1/15/2020,101.39
1/16/2020,101.38
1/17/2020,100.97
1/20/2020,100.95
1/21/2020,101.1
1/22/2020,101.03
1/23/2020,100.87
1/24/2020,100.86
1/27/2020,100.88
1/27/2020,100.88
1/28/2020,100.87
1/29/2020,100.87
1/30/2020,100.75
1/31/2020,100.58
2/3/2020,100.44
2/4/2020,100.46
2/5/2020,100.35
2/6/2020,100.39
2/7/2020,100.45
2/10/2020,100.58
2/12/2020,100.63
2/13/2020,100.69
2/14/2020,100.58
2/17/2020,100.62
2/18/2020,100.89
2/19/2020,101.08
2/20/2020,101.25
2/21/2020,101.29
2/24/2020,101.23
2/25/2020,101.15
2/26/2020,101.13
2/27/2020,100.93
2/28/2020,100.98
3/2/2020,101.16
